"survey","country","regions","year","type"
"AO71FL","AGO",18,2015,"DHS"
"AO81FL","AGO",18,2023,"DHS"
"BU61FL","BDI",4,2010,"DHS"
"BU71FL","BDI",18,2016,"DHS"
"BJ71FL","BEN",12,2017,"DHS"
"BF43FL","BFA",13,2003,"DHS"
"BF62FL","BFA",13,2010,"DHS"
"BF81FL","BFA",13,2021,"DHS"
"CI62FL","CIV",10,2012,"DHS"
"CI81FL","CIV",14,2021,"DHS"
"CM44FL","CMR",12,2004,"DHS"
"CM61FL","CMR",12,2011,"DHS"
"CM71FL","CMR",10,2018,"DHS"
"CD51FL","COD",11,2007,"DHS"
"CD61FL","COD",11,2013,"DHS"
"CD81FL","COD",26,2023,"DHS"
"CG51FL","COG",4,2005,"DHS"
"CG61FL","COG",12,2011,"DHS"
"KM61FL","COM",3,2012,"DHS"
"ET51FL","ETH",11,2005,"DHS"
"ET61FL","ETH",11,2011,"DHS"
"ET71FL","ETH",11,2016,"DHS"
"ET81FL","ETH",11,2019,"DHS"
"ET8AFL","ETH",14,2024,"DHS"
"GA61FL","GAB",10,2012,"DHS"
"GA71FL","GAB",11,2019,"DHS"
"GH5AFL","GHA",10,2008,"DHS"
"GH72FL","GHA",10,2014,"DHS"
"GH8CFL","GHA",16,2022,"DHS"
"GN52FL","GIN",8,2005,"DHS"
"GN62FL","GIN",8,2012,"DHS"
"GN71FL","GIN",8,2018,"DHS"
"GM61FL","GMB",8,2013,"DHS"
"GM81FL","GMB",8,2019,"DHS"
"KE42FL","KEN",8,2003,"DHS"
"KE52FL","KEN",8,2008,"DHS"
"KE72FL","KEN",8,2014,"DHS"
"KE8CFL","KEN",47,2022,"DHS"
"MD42FL","MDG",6,2004,"DHS"
"MD81FL","MDG",23,2021,"DHS"
"ML53FL","MLI",9,2006,"DHS"
"ML6AFL","MLI",6,2012,"DHS"
"ML7AFL","MLI",9,2018,"DHS"
"ML8AFL","MLI",9,2023,"DHS"
"MZ41FL","MOZ",11,2003,"DHS"
"MZ62FL","MOZ",11,2011,"DHS"
"MZ81FL","MOZ",11,2022,"DHS"
"MR71FL","MRT",13,2020,"DHS"
"MW4EFL","MWI",3,2004,"DHS"
"MW61FL","MWI",3,2010,"DHS"
"MW7AFL","MWI",3,2015,"DHS"
"MW81FL","MWI",3,2024,"DHS"
"NM51FL","NAM",11,2006,"DHS"
"NM61FL","NAM",11,2013,"DHS"
"NI51FL","NER",8,2006,"DHS"
"NI61FL","NER",8,2012,"DHS"
"NG4BFL","NGA",6,2003,"DHS"
"NG53FL","NGA",6,2008,"DHS"
"NG6AFL","NGA",6,2013,"DHS"
"NG7BFL","NGA",6,2018,"DHS"
"NG8BFL","NGA",6,2024,"DHS"
"RW53FL","RWA",5,2005,"DHS"
"RW61FL","RWA",5,2010,"DHS"
"RW70FL","RWA",5,2015,"DHS"
"RW81FL","RWA",5,2019,"DHS"
"SN4AFL","SEN",11,2005,"DHS"
"SN61FL","SEN",14,2010,"DHS"
"SN6DFL","SEN",4,2012,"DHS"
"SN71FL","SEN",4,2014,"DHS"
"SN7AFL","SEN",4,2015,"DHS"
"SN7IFL","SEN",4,2016,"DHS"
"SN7ZFL","SEN",14,2017,"DHS"
"SN81FL","SEN",4,2018,"DHS"
"SN8BFL","SEN",4,2019,"DHS"
"SN8SFL","SEN",14,2023,"DHS"
"SL51FL","SLE",4,2008,"DHS"
"SL61FL","SLE",4,2013,"DHS"
"SL7AFL","SLE",5,2019,"DHS"
"SZ51FL","SWZ",3,2006,"DHS"
"TD71FL","TCD",20,2014,"DHS"
"TG61FL","TGO",5,2013,"DHS"
"TZ4IFL","TZA",8,2004,"DHS"
"TZ63FL","TZA",8,2010,"DHS"
"TZ7BFL","TZA",9,2015,"DHS"
"TZ82FL","TZA",9,2022,"DHS"
"UG52FL","UGA",9,2006,"DHS"
"UG61FL","UGA",10,2011,"DHS"
"UG7BFL","UGA",13,2016,"DHS"
"ZA71FL","ZAF",6,2016,"DHS"
"ZM51FL","ZMB",9,2007,"DHS"
"ZM61FL","ZMB",10,2013,"DHS"
"ZM71FL","ZMB",10,2018,"DHS"
"ZM81FL","ZMB",10,2024,"DHS"
"ZW62FL","ZWE",10,2010,"DHS"
"ZW72FL","ZWE",9,2015,"DHS"
"MC_BEN2014","BEN",12,2014,"MICS"
"MC_BEN2021","BEN",12,2021,"MICS"
"MC_CAF2018","CAF",6,2019,"MICS"
"MC_CIV2016","CIV",11,2016,"MICS"
"MC_CMR2014","CMR",12,2014,"MICS"
"MC_COD2017","COD",26,2018,"MICS"
"MC_COG2014","COG",12,2015,"MICS"
"MC_COM2022","COM",3,2022,"MICS"
"MC_GHA2011","GHA",10,2011,"MICS"
"MC_GHA2017","GHA",10,2017,"MICS"
"MC_GIN2016","GIN",8,2016,"MICS"
"MC_GMB2018","GMB",8,2018,"MICS"
"MC_GNB2014","GNB",8,2014,"MICS"
"MC_GNB2018","GNB",8,2019,"MICS"
"MC_KEN2013BUN","KEN",1,2013,"MICS"
"MC_KEN2013KAK","KEN",1,2013,"MICS"
"MC_KEN2009MOM","KEN",1,2009,"MICS"
"MC_KEN2011NYA","KEN",6,2011,"MICS"
"MC_KEN2013TUR","KEN",1,2013,"MICS"
"MC_MDG2018","MDG",22,2018,"MICS"
"MC_MLI2015","MLI",8,2015,"MICS"
"MC_MOZ2008","MOZ",11,2008,"MICS"
"MC_MRT2011","MRT",11,2011,"MICS"
"MC_MRT2015","MRT",11,2015,"MICS"
"MC_MWI2006","MWI",3,2006,"MICS"
"MC_MWI2013","MWI",3,2014,"MICS"
"MC_MWI2019","MWI",3,2020,"MICS"
"MC_NGA2016","NGA",6,2016,"MICS"
"MC_SEN2015DKR","SEN",1,2015,"MICS"
"MC_SLE2017","SLE",4,2017,"MICS"
"MC_SWZ2010","SWZ",3,2010,"MICS"
"MC_SWZ2014","SWZ",3,2014,"MICS"
"MC_SWZ2021","SWZ",3,2021,"MICS"
"MC_TCD2019","TCD",21,2019,"MICS"
"MC_TGO2017","TGO",6,2017,"MICS"
"MC_ZWE2014","ZWE",10,2014,"MICS"
"MC_ZWE2019","ZWE",10,2019,"MICS"
